Mes,data science,machine learning,deep learning
01/01/2004,12,18,4
02/01/2004,12,21,2
03/01/2004,9,21,2
04/01/2004,10,16,4
05/01/2004,7,14,3
06/01/2004,9,17,3
07/01/2004,9,16,3
08/01/2004,7,14,3
09/01/2004,10,17,4
10/01/2004,8,17,4
11/01/2004,8,15,2
12/01/2004,8,16,2
01/01/2005,10,16,2
02/01/2005,9,14,3
03/01/2005,8,13,2
04/01/2005,8,12,3
05/01/2005,8,15,3
06/01/2005,8,12,3
07/01/2005,6,11,2
08/01/2005,9,10,2
09/01/2005,7,14,2
10/01/2005,7,16,3
11/01/2005,7,13,4
12/01/2005,5,13,2
01/01/2006,7,12,3
02/01/2006,7,12,3
03/01/2006,7,12,2
04/01/2006,7,12,2
05/01/2006,7,11,2
06/01/2006,6,10,2
07/01/2006,5,9,1
08/01/2006,6,9,2
09/01/2006,7,11,1
10/01/2006,6,11,2
11/01/2006,7,11,2
12/01/2006,4,9,3
01/01/2007,6,11,2
02/01/2007,7,11,3
03/01/2007,6,9,3
04/01/2007,5,10,3
05/01/2007,6,9,1
06/01/2007,6,9,2
07/01/2007,4,9,2
08/01/2007,5,9,3
09/01/2007,6,9,2
10/01/2007,6,11,2
11/01/2007,6,10,2
12/01/2007,5,8,3
01/01/2008,6,9,2
02/01/2008,6,9,2
03/01/2008,5,8,3
04/01/2008,6,10,2
05/01/2008,5,9,2
06/01/2008,5,8,2
07/01/2008,5,7,3
08/01/2008,5,7,1
09/01/2008,6,9,2
10/01/2008,6,10,2
11/01/2008,6,9,2
12/01/2008,5,8,2
01/01/2009,6,8,3
02/01/2009,6,9,3
03/01/2009,6,8,2
04/01/2009,6,9,3
05/01/2009,5,8,2
06/01/2009,5,8,2
07/01/2009,4,8,2
08/01/2009,5,8,2
09/01/2009,7,8,3
10/01/2009,6,9,2
11/01/2009,7,9,2
12/01/2009,6,8,2
01/01/2010,7,8,2
02/01/2010,7,9,2
03/01/2010,6,9,2
04/01/2010,6,9,2
05/01/2010,6,8,2
06/01/2010,5,8,2
07/01/2010,5,8,3
08/01/2010,5,8,2
09/01/2010,7,9,2
10/01/2010,6,9,3
11/01/2010,6,9,3
12/01/2010,5,9,2
01/01/2011,7,8,3
02/01/2011,6,9,2
03/01/2011,6,9,3
04/01/2011,6,9,2
05/01/2011,5,9,3
06/01/2011,5,8,2
07/01/2011,4,7,2
08/01/2011,5,8,2
09/01/2011,7,11,3
10/01/2011,7,12,3
11/01/2011,7,12,3
12/01/2011,6,10,2
01/01/2012,7,10,3
02/01/2012,7,11,3
03/01/2012,7,11,2
04/01/2012,6,11,3
05/01/2012,6,11,4
06/01/2012,6,10,3
07/01/2012,6,10,3
08/01/2012,7,10,3
09/01/2012,10,12,3
10/01/2012,8,13,4
11/01/2012,8,12,6
12/01/2012,6,11,4
01/01/2013,8,11,5
02/01/2013,8,12,4
03/01/2013,8,12,5
04/01/2013,9,13,6
05/01/2013,9,13,7
06/01/2013,8,12,5
07/01/2013,8,12,6
08/01/2013,9,11,6
09/01/2013,12,13,8
10/01/2013,11,16,7
11/01/2013,11,15,8
12/01/2013,10,14,8
01/01/2014,13,14,9
02/01/2014,12,16,10
03/01/2014,13,16,10
04/01/2014,13,17,10
05/01/2014,12,16,11
06/01/2014,12,15,10
07/01/2014,13,16,9
08/01/2014,16,16,11
09/01/2014,19,18,12
10/01/2014,17,18,12
11/01/2014,17,20,11
12/01/2014,16,18,17
01/01/2015,19,20,19
02/01/2015,18,21,20
03/01/2015,18,21,21
04/01/2015,20,24,19
05/01/2015,19,22,20
06/01/2015,20,24,23
07/01/2015,20,24,23
08/01/2015,23,23,22
09/01/2015,27,26,24
10/01/2015,25,27,24
11/01/2015,24,30,28
12/01/2015,22,28,28
01/01/2016,27,28,34
02/01/2016,27,32,34
03/01/2016,26,34,44
04/01/2016,27,34,44
05/01/2016,27,34,42
06/01/2016,27,36,46
07/01/2016,26,32,40
08/01/2016,29,34,41
09/01/2016,36,39,46
10/01/2016,33,42,52
11/01/2016,34,46,55
12/01/2016,33,46,59
01/01/2017,41,51,65
02/01/2017,42,56,69
03/01/2017,44,59,75
04/01/2017,42,61,76
05/01/2017,43,63,80
06/01/2017,43,65,78
07/01/2017,42,62,76
08/01/2017,47,64,84
09/01/2017,53,71,87
10/01/2017,53,75,89
11/01/2017,52,80,94
12/01/2017,48,72,91
01/01/2018,58,76,91
02/01/2018,57,80,93
03/01/2018,58,82,95
04/01/2018,58,82,95
05/01/2018,59,83,98
06/01/2018,57,81,90
07/01/2018,60,81,88
08/01/2018,64,82,87
09/01/2018,68,85,94
10/01/2018,70,90,97
11/01/2018,67,88,94
12/01/2018,61,81,87
01/01/2019,76,86,93
02/01/2019,77,93,95
03/01/2019,75,91,98
04/01/2019,77,92,98
05/01/2019,76,92,97
06/01/2019,80,93,96
07/01/2019,85,92,96
08/01/2019,88,93,92
09/01/2019,95,100,100
10/01/2019,90,98,98
11/01/2019,87,97,96
12/01/2019,81,89,91
01/01/2020,94,94,93
02/01/2020,100,99,99
